,created_at,user_name,user_screen_name,user_followers_count,user_friends_count,user_location,tweet,tweet_likes,retweet_count
7,2021-12-05 00:15:22,Shlaps 👑,ShlapsFr,845,91,"Paris, France","80€ au lieu de 120€ #Nike Tuned 1 [-34%]

▶️ https://t.co/IO45xn58y1 ◀️ https://t.co/UVkeQRd55R",0,0
8,2021-12-05 00:15:19,Jeruscha Toussaint,Juu_Couture,20,224,"Florida, USA",@Nike Nike I do not want to die like the countless number of black people before I get some help. The police and Walmart are very corrupt and because of  this I have been left disabled and unemployed. I was a 3.0 college graduate before this…I seriously need awareness 💔,0,0
9,2021-12-05 00:15:19,NavyCane,jakebebber,1324,3063,"Pensacola, FL","RT @TheDragonFeeder: “Parties r accused of: 

“aiding &amp; abetting participation in subordination of exploitation”, 

“slavery, as a crime ag…",0,13
12,2021-12-05 00:15:13,Chinoz,ghoshinoo,537,439,"013, SP - Brasil  ","@gabrielmrcondes qual????? mandoulhe, eh cara mas eh qualidade o material 
tenho umas da Nike q uso desde o ensino médio e segue intacta, sem desbotar etc",0,0
19,2021-12-05 00:14:46,Momo,Metzinho97,1366,1315,"Ile-de-France, France",RT @tonton_picollo: Adidas&gt;&gt;&gt;Nike 🎼 https://t.co/bJZPV19KV2,0,20
20,2021-12-05 00:14:45,(mamãe do Lorenzo) 💙👩‍👦,ShaayLopes12,746,1533,"Rio de Janeiro, Brasil",RT @bestoffnike: Nike Air Max 90 x Pirate Radio https://t.co/jHlMK48C5o,0,234
26,2021-12-05 00:14:25,J-LOCO,LIQRstoreJUNKIE,1448,872,"Moreno Valley, CA","I got a fresh fade &amp; got my feet right just to throw on a Nike sweatsuit 😭 I swear I want to put some real clothes on and go out tonight, cop a bottle and just vibe out to the music at my own table",0,0
32,2021-12-05 00:14:11,erick,ErickMsso,663,267,"São Paulo, Brasil","Eu ia comprar uma berma da Nike quando vi 140 eu pensei, por isso eu uso falso",0,0
33,2021-12-05 00:14:10,"Maxine Shaw, Attorney at Law",shelowkeyhappy,148,141,"Texas, USA",Im buying my guy nike jogger suits off the strenfff of Hersch in #TrueStoryNetflix 😮‍💨,0,0
38,2021-12-05 00:14:00,ParisApeWife,ParisApeWife,1337,2613,"New York, USA",@BitcoinSwisher @DApeWives @Nike to the 🌙,0,0
45,2021-12-05 00:13:41,🥃,cleanwaterj,822,605,"District of Columbia, USA",RT @JetLifeBrandon: Crunchy up there in a ski mask &amp; Nike Boots like he in the gogo,0,188
58,2021-12-05 00:12:59,Big Waine ✌🏼,turner_waine,779,748,"Orland Park, IL",@artbysheriff @Nike @RickandMorty How much do these cost,0,0
63,2021-12-05 00:12:48,Love LA,La3Life,18821,434,"New York, NY",RT @Undrleakovr: Louis Vuitton x Nike Air Force 1 (2022) https://t.co/YlTDRezcFb,0,22
66,2021-12-05 00:12:29,nokxy ❀,nokxyzz,89,88,"Belo Horizonte, Brasil",@caueftn @Nike god work bro,0,0
69,2021-12-05 00:12:16,House of Khath,IG_Jay_Khath,17057,2262,"Kroonstad, South Africa",RT @Chef_Yangchaza: That awkward moment when you're wearing Nike's and you can't do it. 🤦🏾 https://t.co/rk8qghG8Gt,0,8
72,2021-12-05 00:11:56,Math,MisterBanshee,262,232,"Santos, Brasil",Eu odeio vocês @Nike,0,0
78,2021-12-05 00:11:37,İ L A Y D A,ilydrlmz,742,497,"İzmit, Kocaeli",nike pro tayt giyiyoruz diye üzülmüyoruz sanıyolar,0,0
80,2021-12-05 00:11:35,Cestbienbo 📸,Lotfidl,1123,211,"Paris, France",RT @StreetFashion01: Louis Vuitton x Nike SS22 Briefcase!🖤 https://t.co/iCVZhoUbBz,0,78
