,created_at,user_name,user_screen_name,user_followers_count,user_friends_count,user_location,tweet,tweet_likes,retweet_count
0,2021-12-02 23:46:41,CABRAL PILOTO 🥷,Emersoncabralll,1865,681,,@Jeffmidiaa No app da Nike pai,0,0
1,2021-12-02 23:46:40,quinny 📸,phantomz___,54,1705,"Louisiana, USA",RT @CrypticNoHoes: Yeah... Nike better,0,1201
2,2021-12-02 23:46:39,にけ🗼東京秘密基地本店,hideaway_nike,295,218,公式HP⇨,"12/3（金）21:20〜23:20

LINEからでもご予約できます！
もちろんDMでもOK🙆🏼‍♂️です！

#東京秘密基地 #女風 #マッチョ #セラピスト https://t.co/YK2AJnB5RT",0,0
3,2021-12-02 23:46:35,•RANITA• 🐸,ranita0112,175,181,"Montevideo, Uruguay","RT @Martinpdisalvo: que adidas siga intentando es gracioso...
NIKE HAY UNO SOLO",0,143
4,2021-12-02 23:46:31,tortsaux,paradimonet,13,88,,RT @justasnidge: Jiyong’s Nike Kwondo1 marketing is making some POINTS https://t.co/paohWjE4rL,0,9
5,2021-12-02 23:46:31,EL Pistolero,Dri2S_Culer,467,2632,,@ActuFoot_ Les footix qui savent même pas que United était sous Nike en 2006 😂,0,0
6,2021-12-02 23:46:28,sea_buu,sea_buu,7,53,,"RT @uptod4te: 【PEACEMINUSONE × Nike】G-DRAGONコラボ第3弾『KWONDO 1』が本日発売
・SNKRS 12/3 AM9:00〜
・H_BEAUTY&amp;YOUTH WEB抽選 12/3 10:00〜12/5 23:59
［ピースマイナスワ…",0,6
7,2021-12-02 23:46:24,Antoinette Cuspard,Doenut24,18,98,,The box + the package 😂😂😂 @nike y’all run out of regular size boxes too? @snkr_twitr https://t.co/R8QZoNQ2rA,0,0
8,2021-12-02 23:46:21,.,CergyRoberto,254,236,,"@LeSupplice @_Las92i Ca c’est juste pcq arsenal est chez adidas mtn c comme Man U avant c’était Nike , c’est juste ils ont repris les couleurs",0,0
9,2021-12-02 23:46:17,Rodrigo Ferraro,_RodrigoFerraro,1541,348,Rio de Janeiro - Brasil,Eu quero um Nike blazer mid 77 branco 😭 não tem um lugar nenhum..,0,0
10,2021-12-02 23:46:13,Mykala,stellasmommyy,612,747,"Maine, USA",RT @MichelleAdmire5: So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @stellasmommyy #poshmark #fashion #sty…,0,1
11,2021-12-02 23:46:09,EJ 🖤,thewrightej,1662,1189,DET ➡️ NYC ➡️ LA,"Team J&amp;J I know they treat us like Puma in an Adidas and Nike world but I’m here to tell you my 1 shot has held me down in the most Covid friendly environments lol I don’t doubt TheVid has had some shots out my bottles in clubs halfway round the world and here I am, vid free!",0,0
12,2021-12-02 23:46:09,リー助,rikun_nike,630,847,,"RT @mutonarisu: かわいい！
#メジロマックイーン
#ウマ娘 https://t.co/dEnAeipoRU",0,4696
13,2021-12-02 23:46:06,shooters shoot. 📸🎥,glennybwoy,1083,965,"Maryland, USA","RT @JustFreshKicks: Releasing December 16th
Nike Dunk Low 'Goldenrod'
=&gt; https://t.co/Ax4ZokSWJg https://t.co/GlGFShM4Io",0,11
14,2021-12-02 23:46:05,Pedron,21pedron,761,419,"Nbaga, Nigeria","Comprei meu tênis e a data de entrega prevista era pra no máximo amanhã.

Saiu de MG, foi pra SP e foi pro RJ pra poder vir pra cá.

Tem mais de 24h que saiu do RJ pra cá e n chegou nem no ES ainda de acordo com o site. A nova data p entrega é dia 6.

Obrigado @Nike.",0,0
15,2021-12-02 23:46:02,PiryAjesus,PairyAjesus90,66,72,,"RT @JustFreshKicks: Releasing December 16th
Nike Dunk Low 'Goldenrod'
=&gt; https://t.co/Ax4ZokSWJg https://t.co/GlGFShM4Io",0,11
16,2021-12-02 23:46:01,コジキン@リゼロ,k_max_,898,179,amazonアソシエイト参加中 楽天roomはこちら↓↓↓,"(」ﾟДﾟ)」オ────イ!!
NIKEの靴が
実質80%OFFで買えるぞ👟👞👢👡👠

楽天スーパーセール前夜祭

ナイキ フレックス TR 9 ウィメンズ トレーニングシューズ 

7700円
70%OFFクーポン🎫で2310円
SPU10%あれば1540円🔥

サイズが合う方はお買い得やね✌️
https://t.co/bgZXQOyAcr",0,0
17,2021-12-02 23:46:00,Kim’s 4th Child,ZayaTheProphet,793,652,Carlilse aka The Hill,"RT @D4LAB: Enes kanter is a zionist and wears nike head to toe in a china funded league but is fighting for ""freedom"". CIA recruiting anyon…",0,193
18,2021-12-02 23:46:00,リー助,rikun_nike,630,847,,"RT @WED_McQueen: 本日、実は当アカウントのハーフアニバーサリーデーでしたのよ！
運営さまのように石は配布できませんが、多くのトレーナーの皆様の愛ある支えあってわたくしのスイーツ紹介はなんとか続いております…！
本当に皆さまには心より感謝しております。
これからも…",0,2007
19,2021-12-02 23:45:59,Matias☄✨,Matii_Agustinn,1550,1620,"Buenos Aires, Argentina","RT @sql_11: Es gracioso porque River no está y River tenía Adidas en 2006, mientras que Boca tuvo Nike en esa época jsjs",0,35
20,2021-12-02 23:45:59,🏠2720 シングル 24:30 ꒰ঌNikη☆ʍɨʍɨ🐈ꕀ𖤐˒˒໒꒱【Nikη】【AsD】,nike_chao_mimi,13248,4906,,"RT @nike_chao_mimi: ▫️スクワッド
1000×p
【求】本日3日
22:30 23:30 24:00
ください（இ﹏இ`｡)

【出】本日3日
リレー自枠　グレあり
パス伝達グルあり
3日 21:00 21:30
4日22:30 コラボ　
5日23:30 自…",0,1
21,2021-12-02 23:45:59,T❄,taniassszzz,1761,869,Mexico,"RT @gdragonupdate: [UPDATE]

SNKRS Style: Jewish trans Mexican model Hadassah Tirosh represents the #GDRAGON Kwondo1 for the Nike Mexico la…",0,24
22,2021-12-02 23:45:56,TuKi,solpusher,251,579,Metaverse,This is cool. Getting a custom HOODIE for holding an NFT... can't wait for the air nikes! ;) @bitbirdznft @Nike https://t.co/DeqHfjv23X,0,0
23,2021-12-02 23:45:56,Facundo ⑫,_FacuGutierrez,3976,2748,"la paternal, DAM","RT @sql_11: Es gracioso porque River no está y River tenía Adidas en 2006, mientras que Boca tuvo Nike en esa época jsjs",0,35
24,2021-12-02 23:45:54,Lioness. 🦁,ShesSuchADoll_,1160,648,Capitol Heights,@xxDaee Fr ya won’t get a Nike tech outta me fuck em I ball 😂,0,0
25,2021-12-02 23:45:54,angie 🍒,_angielizzet_,2095,1295,satx • gym,i need some nike dunks asap,0,0
26,2021-12-02 23:45:52,LOIRINHO 💫,Renan28698502,87,285,"Rio de Janeiro, Brasil",Indeciso de qual trage eu uso Natal é ano novo ou Lacoste p.a Armani Nike 🤔🤔🤔🤔,0,0
27,2021-12-02 23:45:51,Sustainable Trapper,niyaahx,1842,1746,,RT @Flycrippin9x10: @chubbytumm @niyaahx I mean you gotta pay for what you want a plain jane Nike shirt can run you anywhere from $25-$70 a…,0,1
28,2021-12-02 23:45:44,alyssa,alyssa0618,263,564,philippines,"RT @KwonGdragon88: Kang Gary &amp; his wife IG updated with Kwondo1.  They are visiting the popup store. 

Cr : hi_seeya &amp; kanggary_yangban

#G…",0,139
